id,tweet,task_3,label
hasoc_en_1,dhonikeepstheglove watch sports minister kiren rijiju issues statement backing ms dhoni balidaan badge tells bcci take matter icc keep government know nations pride involved,NONE,0
hasoc_en_2,remember clearly individual1 admitted treason trumpisatraitor mccainsahero johnmccainday,TIN,1
hasoc_en_3,guess would winner cwc19 team gets maximum points abandoned matches shameonicc wivseng,NONE,0
hasoc_en_4,corbyn politically intellectual borisjohnsonshouldnotbepm cant wait generalelectionnow,NONE,0
hasoc_en_5,best teamindia another swimming competition sunday pakistan indvpak shameonicc cwc19 cwc19rains,NONE,0
hasoc_en_6,hope remembered wipe blood pic taken bloodonhishands murderer,NONE,0
hasoc_en_7,latest design wc2019 trophy cwc2019 cwc19 shameonicc,NONE,0
hasoc_en_8,ados trendingnow blacklivesmatter justice fucktrump central park five prosecutor elizabeth lederer columbia law school,TIN,1
hasoc_en_9,thanks support wow 600k graffiti massive impact nowadays forget show opinion allcolorsarebeautiful powertothepeople fuckracism fucktrump makelovenotwar,NONE,0
hasoc_en_10,wearing balidaanbadge gloves shown love amp respect forces understand related politicalreligiousracial activities nationalpride dhonikeepstheglove,NONE,0
hasoc_en_11,mahendra singh dhonis love nation armed forces soldiers intact truly commendable nations hero one represents country better stand dhonikeepstheglove dhonikesaathdesh indiawithdhoni,NONE,0
hasoc_en_12,dont know much take 45 compulsive liar trump30hours trumpisatraitor,TIN,1
hasoc_en_13,shameonicc winner teamrain icc run teamrain icc man matchrain icc man seriesrain best bowlerrain best wicketkeperrain,NONE,0
hasoc_en_14,grevious assault jr doctors medical colleges wb action taken safety security justice pm sir please intervene asap savethedoctors doctorsfightback,NONE,0
hasoc_en_15,icc denies request bcci allow msd wear gloves army insignia dhonikeeptheglove dhonikeepstheglove,NONE,0
hasoc_en_16,good work keep going destroy whole fucking world cup shameonicc,TIN,1
hasoc_en_17,wow youre full borisjohnsonshouldnotbepm kickthemout,NONE,0
hasoc_en_18,indian spectators shd hv balidanbadge ground dhonikeepstheglove dhonikeepbalidaanbadgeglove dhonikeepstheglove dhonikesathdesh,NONE,0
hasoc_en_19,virat kholi tattoos dhonikeepstheglove,NONE,0
hasoc_en_20,important indiawithdhoni dhonikeepstheglove,NONE,0
hasoc_en_21,gonna crash douchebag,NONE,0
